COUNTY,Class,Enrollment,Gender,School Category,Year,County (Centroids)
Machakos       ,Class 1,1982,Boys,Private School,12/31/2014 12:00:00 AM,"(-1.2795123, 37.412676)       "
Machakos       ,Class 1,1928,Girls,Private School,12/31/2014 12:00:00 AM,"(-1.2795123, 37.412676)       "
Lamu           ,Class 1,303,Girls,Private School,12/31/2014 12:00:00 AM,"(-2.0786825, 40.8828607)      "
Lamu           ,Class 1,523,Boys,Private School,12/31/2014 12:00:00 AM,"(-2.0786825, 40.8828607)      "
Laikipia       ,Class 1,1120,Boys,Private School,12/31/2014 12:00:00 AM,"(0.3236041, 36.7717279)       "
Laikipia       ,Class 1,1164,Girls,Private School,12/31/2014 12:00:00 AM,"(0.3236041, 36.7717279)       "
Kwale          ,Class 1,1213,Girls,Private School,12/31/2014 12:00:00 AM,"(-4.1831495, 39.1904119)      "
Kwale          ,Class 1,1316,Boys,Private School,12/31/2014 12:00:00 AM,"(-4.1831495, 39.1904119)      "
Kitui          ,Class 1,1125,Boys,Private School,12/31/2014 12:00:00 AM,"(-1.4910385, 38.406921)       "
Kitui          ,Class 1,1181,Girls,Private School,12/31/2014 12:00:00 AM,"(-1.4910385, 38.406921)       "
Kisumu         ,Class 1,2251,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.1694587, 34.8352035)      "
Kisumu         ,Class 1,2332,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.1694587, 34.8352035)      "
Kisii          ,Class 1,4447,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.7746038, 34.774723)       "
Kisii          ,Class 1,4077,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.7746038, 34.774723)       "
Kirinyaga      ,Class 1,2006,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.5247463, 37.3198681)      "
Kirinyaga      ,Class 1,2158,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.5247463, 37.3198681)      "
Kilifi         ,Class 1,3308,Boys,Private School,12/31/2014 12:00:00 AM,"(-3.175732, 39.6866876)       "
Kilifi         ,Class 1,3172,Girls,Private School,12/31/2014 12:00:00 AM,"(-3.175732, 39.6866876)       "
Kiambu         ,Class 1,7202,Girls,Private School,12/31/2014 12:00:00 AM,"(-1.0687061, 36.8235643)      "
Kiambu         ,Class 1,7327,Boys,Private School,12/31/2014 12:00:00 AM,"(-1.0687061, 36.8235643)      "
Kericho        ,Class 1,3554,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.2957329, 35.31407)        "
Kericho        ,Class 1,3087,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.2957329, 35.31407)        "
Kakamega       ,Class 1,3292,Girls,Private School,12/31/2014 12:00:00 AM,"(0.4036835, 34.7445112)       "
Kakamega       ,Class 1,3339,Boys,Private School,12/31/2014 12:00:00 AM,"(0.4036835, 34.7445112)       "
Kajiado        ,Class 1,3138,Boys,Private School,12/31/2014 12:00:00 AM,"(-2.1213836, 36.9088422)      "
Kajiado        ,Class 1,3329,Girls,Private School,12/31/2014 12:00:00 AM,"(-2.1213836, 36.9088422)      "
Isiolo         ,Class 1,611,Girls,Private School,12/31/2014 12:00:00 AM,"(1.0104431, 38.5421531)       "
Isiolo         ,Class 1,681,Boys,Private School,12/31/2014 12:00:00 AM,"(1.0104431, 38.5421531)       "
Homa Bay       ,Class 1,2795,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.5428094, 34.3589969)      "
Homa Bay       ,Class 1,2750,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.5428094, 34.3589969)      "
Garissa        ,Class 1,7645,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.4889103, 40.1992785)      "
Garissa        ,Class 1,9865,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.4889103, 40.1992785)      "
Embu           ,Class 1,1276,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.6039744, 37.6265013)      "
Embu           ,Class 1,1206,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.6039744, 37.6265013)      "
Elgeyo Marakwet,Class 1,611,Girls,Private School,12/31/2014 12:00:00 AM,"(0.8022188, 35.5365631)       "
Elgeyo Marakwet,Class 1,693,Boys,Private School,12/31/2014 12:00:00 AM,"(0.8022188, 35.5365631)       "
Busia          ,Class 1,1595,Boys,Private School,12/31/2014 12:00:00 AM,"(0.3874437, 34.1936315)       "
Busia          ,Class 1,1573,Girls,Private School,12/31/2014 12:00:00 AM,"(0.3874437, 34.1936315)       "
Bungoma        ,Class 1,3072,Girls,Private School,12/31/2014 12:00:00 AM,"(0.7492852, 34.6404609)       "
Bungoma        ,Class 1,3101,Boys,Private School,12/31/2014 12:00:00 AM,"(0.7492852, 34.6404609)       "
Bomet          ,Class 1,2405,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.7262946, 35.2985976)      "
Bomet          ,Class 1,2056,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.7262946, 35.2985976)      "
Baringo        ,Class 1,1169,Girls,Private School,12/31/2014 12:00:00 AM,"(0.669252, 35.9464654)        "
Baringo        ,Class 1,1203,Boys,Private School,12/31/2014 12:00:00 AM,"(0.669252, 35.9464654)        "
West Pokot     ,Class 1,306,Boys,Private School,12/31/2014 12:00:00 AM,"(1.7401062, 35.2438468)       "
Wajir          ,Class 1,588,Boys,Private School,12/31/2014 12:00:00 AM,"(1.8081376, 40.0349856)       "
Wajir          ,Class 1,491,Girls,Private School,12/31/2014 12:00:00 AM,"(1.8081376, 40.0349856)       "
Vihiga         ,Class 1,845,Girls,Private School,12/31/2014 12:00:00 AM,"(0.0762658, 34.722323)        "
Vihiga         ,Class 1,881,Boys,Private School,12/31/2014 12:00:00 AM,"(0.0762658, 34.722323)        "
Uasin Gishu    ,Class 1,2259,Boys,Private School,12/31/2014 12:00:00 AM,"(0.5260859, 35.3220117)       "
Uasin Gishu    ,Class 1,2191,Girls,Private School,12/31/2014 12:00:00 AM,"(0.5260859, 35.3220117)       "
Turkana        ,Class 1,4402,Girls,Private School,12/31/2014 12:00:00 AM,"(3.4248492, 35.4357585)       "
Turkana        ,Class 1,4865,Boys,Private School,12/31/2014 12:00:00 AM,"(3.4248492, 35.4357585)       "
Trans Nzoia    ,Class 1,2493,Boys,Private School,12/31/2014 12:00:00 AM,"(1.0509548, 34.95742)         "
Trans Nzoia    ,Class 1,2539,Girls,Private School,12/31/2014 12:00:00 AM,"(1.0509548, 34.95742)         "
Tharaka-Nithi  ,Class 1,753,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.2070612, 37.8702973)      "
Tharaka-Nithi  ,Class 1,738,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.2070612, 37.8702973)      "
Tana River     ,Class 1,259,Boys,Private School,12/31/2014 12:00:00 AM,"(-1.5263666, 39.4178692)      "
Tana River     ,Class 1,243,Girls,Private School,12/31/2014 12:00:00 AM,"(-1.5263666, 39.4178692)      "
Taita Taveta   ,Class 1,531,Girls,Private School,12/31/2014 12:00:00 AM,"(-3.434734, 38.418602)        "
Taita Taveta   ,Class 1,577,Boys,Private School,12/31/2014 12:00:00 AM,"(-3.434734, 38.418602)        "
Siaya          ,Class 1,919,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.0621299, 34.2476417)      "
Siaya          ,Class 1,975,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.0621299, 34.2476417)      "
Samburu        ,Class 1,215,Girls,Private School,12/31/2014 12:00:00 AM,"(1.3168546, 37.1183941)       "
Samburu        ,Class 1,217,Boys,Private School,12/31/2014 12:00:00 AM,"(1.3168546, 37.1183941)       "
Nyeri          ,Class 1,2171,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.3429236, 36.9564781)      "
Nyeri          ,Class 1,2058,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.3429236, 36.9564781)      "
Nyandarua      ,Class 1,1540,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.3220778, 36.4828692)      "
Nyandarua      ,Class 1,1668,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.3220778, 36.4828692)      "
Nyamira        ,Class 1,1727,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.6427324, 34.9646596)      "
Nyamira        ,Class 1,1820,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.6427324, 34.9646596)      "
Narok          ,Class 1,1559,Girls,Private School,12/31/2014 12:00:00 AM,"(-1.2547903, 35.5763292)      "
Narok          ,Class 1,1733,Boys,Private School,12/31/2014 12:00:00 AM,"(-1.2547903, 35.5763292)      "
Nandi          ,Class 1,1834,Boys,Private School,12/31/2014 12:00:00 AM,"(0.1866889, 35.1104877)       "
Nandi          ,Class 1,1688,Girls,Private School,12/31/2014 12:00:00 AM,"(0.1866889, 35.1104877)       "
Nakuru         ,Class 1,5068,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.4636754, 36.0784791)      "
Nakuru         ,Class 1,5447,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.4636754, 36.0784791)      "
Nairobi        ,Class 1,21805,Boys,Private School,12/31/2014 12:00:00 AM,"(-1.2934135, 36.8681893)      "
Nairobi        ,Class 1,22524,Girls,Private School,12/31/2014 12:00:00 AM,"(-1.2934135, 36.8681893)      "
Muranga        ,Class 1,1759,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.8095905, 37.0327225)      "
Muranga        ,Class 1,1786,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.8095905, 37.0327225)      "
Mombasa        ,Class 1,5459,Boys,Private School,12/31/2014 12:00:00 AM,"(-4.0212562, 39.6508827)      "
Mombasa        ,Class 1,5183,Girls,Private School,12/31/2014 12:00:00 AM,"(-4.0212562, 39.6508827)      "
Migori         ,Class 1,2981,Girls,Private School,12/31/2014 12:00:00 AM,"(-0.9895368, 34.3633453)      "
Migori         ,Class 1,3025,Boys,Private School,12/31/2014 12:00:00 AM,"(-0.9895368, 34.3633453)      "
Meru           ,Class 1,4140,Boys,Private School,12/31/2014 12:00:00 AM,"(0.1667792, 37.7640371)       "
Meru           ,Class 1,4141,Girls,Private School,12/31/2014 12:00:00 AM,"(0.1667792, 37.7640371)       "
Marsabit       ,Class 1,742,Girls,Private School,12/31/2014 12:00:00 AM,"(2.9786588, 37.5695361)       "
Marsabit       ,Class 1,905,Boys,Private School,12/31/2014 12:00:00 AM,"(2.9786588, 37.5695361)       "
Mandera        ,Class 1,666,Boys,Private School,12/31/2014 12:00:00 AM,"(3.4364695, 40.7388102)       "
West Pokot     ,Class 1,14419,Boys,Public School,12/31/2014 12:00:00 AM,"(1.7401061713, 35.2438468092) "
Wajir          ,Class 1,7060,Boys,Public School,12/31/2014 12:00:00 AM,"(1.8081376238, 40.0349856396) "
Wajir          ,Class 1,4984,Girls,Public School,12/31/2014 12:00:00 AM,"(1.8081376238, 40.0349856396) "
Vihiga         ,Class 1,11513,Girls,Public School,12/31/2014 12:00:00 AM,"(0.0762657959, 34.7223230361) "
Vihiga         ,Class 1,11798,Boys,Public School,12/31/2014 12:00:00 AM,"(0.0762657959, 34.7223230361) "
Uasin Gishu    ,Class 1,10148,Boys,Public School,12/31/2014 12:00:00 AM,"(0.5260858915, 35.3220116672) "
Uasin Gishu    ,Class 1,9896,Girls,Public School,12/31/2014 12:00:00 AM,"(0.5260858915, 35.3220116672) "
Turkana        ,Class 1,18004,Girls,Public School,12/31/2014 12:00:00 AM,"(3.4248491959, 35.4357584553) "
Turkana        ,Class 1,21579,Boys,Public School,12/31/2014 12:00:00 AM,"(3.4248491959, 35.4357584553) "
Trans Nzoia    ,Class 1,13833,Boys,Public School,12/31/2014 12:00:00 AM,"(1.0509548086, 34.9574199775) "
Trans Nzoia    ,Class 1,13686,Girls,Public School,12/31/2014 12:00:00 AM,"(1.0509548086, 34.9574199775) "
Tharaka-Nithi  ,Class 1,5951,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.2070612179, 37.8702972709)"
Tharaka-Nithi  ,Class 1,6335,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.2070612179, 37.8702972709)"
Tana River     ,Class 1,4088,Boys,Public School,12/31/2014 12:00:00 AM,"(-1.5263666043, 39.4178692029)"
Tana River     ,Class 1,3681,Girls,Public School,12/31/2014 12:00:00 AM,"(-1.5263666043, 39.4178692029)"
Taita Taveta   ,Class 1,3662,Girls,Public School,12/31/2014 12:00:00 AM,"(-3.4347339937, 38.4186020033)"
Taita Taveta   ,Class 1,3915,Boys,Public School,12/31/2014 12:00:00 AM,"(-3.4347339937, 38.4186020033)"
Siaya          ,Class 1,17374,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.0621298886, 34.2476417045)"
Siaya          ,Class 1,16813,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.0621298886, 34.2476417045)"
Samburu        ,Class 1,3656,Girls,Public School,12/31/2014 12:00:00 AM,"(1.3168546261, 37.118394067)  "
Samburu        ,Class 1,4307,Boys,Public School,12/31/2014 12:00:00 AM,"(1.3168546261, 37.118394067)  "
Nyeri          ,Class 1,6460,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.3429235894, 36.9564781346)"
Nyeri          ,Class 1,5688,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.3429235894, 36.9564781346)"
Nyandarua      ,Class 1,6863,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.3220778225, 36.482869161) "
Nyandarua      ,Class 1,7589,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.3220778225, 36.482869161) "
Nyamira        ,Class 1,8652,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.6427324001, 34.9646595611)"
Nyamira        ,Class 1,8240,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.6427324001, 34.9646595611)"
Narok          ,Class 1,16516,Girls,Public School,12/31/2014 12:00:00 AM,"(-1.2547903321, 35.5763292139)"
Narok          ,Class 1,18062,Boys,Public School,12/31/2014 12:00:00 AM,"(-1.2547903321, 35.5763292139)"
Nandi          ,Class 1,14833,Boys,Public School,12/31/2014 12:00:00 AM,"(0.1866888869, 35.1104876664) "
Nandi          ,Class 1,14029,Girls,Public School,12/31/2014 12:00:00 AM,"(0.1866888869, 35.1104876664) "
Nakuru         ,Class 1,22095,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.4636754317, 36.0784790942)"
Nakuru         ,Class 1,23605,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.4636754317, 36.0784790942)"
Nairobi        ,Class 1,8426,Boys,Public School,12/31/2014 12:00:00 AM,"(-1.2934134703, 36.8681892682)"
Nairobi        ,Class 1,8371,Girls,Public School,12/31/2014 12:00:00 AM,"(-1.2934134703, 36.8681892682)"
Muranga        ,Class 1,10270,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.8095905365, 37.0327225233)"
Muranga        ,Class 1,11287,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.8095905365, 37.0327225233)"
Mombasa        ,Class 1,3058,Boys,Public School,12/31/2014 12:00:00 AM,"(-4.0212562197, 39.6508827026)"
Mombasa        ,Class 1,3372,Girls,Public School,12/31/2014 12:00:00 AM,"(-4.0212562197, 39.6508827026)"
Migori         ,Class 1,18184,Girls,Public School,12/31/2014 12:00:00 AM,"(-0.9895368437, 34.3633453076)"
Migori         ,Class 1,18353,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.9895368437, 34.3633453076)"
Meru           ,Class 1,20780,Boys,Public School,12/31/2014 12:00:00 AM,"(0.1667792413, 37.7640370542) "
Meru           ,Class 1,19903,Girls,Public School,12/31/2014 12:00:00 AM,"(0.1667792413, 37.7640370542) "
Marsabit       ,Class 1,4043,Girls,Public School,12/31/2014 12:00:00 AM,"(2.9786587865, 37.5695361088) "
Marsabit       ,Class 1,4334,Boys,Public School,12/31/2014 12:00:00 AM,"(2.9786587865, 37.5695361088) "
Mandera        ,Class 1,10095,Boys,Public School,12/31/2014 12:00:00 AM,"(3.436469488, 40.7388101667)  "
West Pokot     ,Class 1,13538,Girls,Public School,12/31/2014 12:00:00 AM,"(1.7401061713, 35.2438468092) "
Baringo        ,Class 1,8112,Girls,Public School,12/31/2014 12:00:00 AM,"(0.6692519803, 35.9464653527) "
Baringo        ,Class 2,7510,Girls,Public School,12/31/2014 12:00:00 AM,"(0.6692519803, 35.9464653527) "
Bomet          ,Class 2,13602,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.7262945834, 35.2985975867)"
Bungoma        ,Class 2,31046,Boys,Public School,12/31/2014 12:00:00 AM,"(0.7492852396, 34.6404608756) "
Busia          ,Class 2,16327,Boys,Public School,12/31/2014 12:00:00 AM,"(0.3874436775, 34.1936314884) "
Elgeyo Marakwet,Class 2,6958,Boys,Public School,12/31/2014 12:00:00 AM,"(0.8022188109, 35.5365631474) "
Embu           ,Class 2,6724,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.6039743776, 37.6265013265)"
Garissa        ,Class 2,4952,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.4889103448, 40.1992785378)"
Homa Bay       ,Class 2,19543,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.5428093942, 34.3589968687)"
Isiolo         ,Class 2,2014,Boys,Public School,12/31/2014 12:00:00 AM,"(1.0104430775, 38.5421531206) "
Kajiado        ,Class 2,7732,Boys,Public School,12/31/2014 12:00:00 AM,"(-2.1213835779, 36.908842193) "
Kakamega       ,Class 2,35344,Boys,Public School,12/31/2014 12:00:00 AM,"(0.403683464, 34.744511153)   "
Kericho        ,Class 2,12615,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.295732906, 35.3140700086) "
Kiambu         ,Class 2,12709,Boys,Public School,12/31/2014 12:00:00 AM,"(-1.068706066, 36.8235642579) "
Kilifi         ,Class 2,17077,Boys,Public School,12/31/2014 12:00:00 AM,"(-3.1757320132, 39.6866875507)"
Kirinyaga      ,Class 2,4986,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.5247462962, 37.3198681093)"
Kisii          ,Class 2,17438,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.7746037572, 34.7747229835)"
Kisumu         ,Class 2,15389,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.1694586948, 34.835203466) "
Kitui          ,Class 2,21908,Boys,Public School,12/31/2014 12:00:00 AM,"(-1.4910385308, 38.4069210158)"
Kwale          ,Class 2,11479,Boys,Public School,12/31/2014 12:00:00 AM,"(-4.1831495272, 39.1904119005)"
Laikipia       ,Class 2,5364,Boys,Public School,12/31/2014 12:00:00 AM,"(0.3236041225, 36.7717278588) "
Lamu           ,Class 2,1667,Boys,Public School,12/31/2014 12:00:00 AM,"(-2.0786825436, 40.882860682) "
Machakos       ,Class 2,16746,Boys,Public School,12/31/2014 12:00:00 AM,"(-1.2795123066, 37.4126760329)"
Makueni        ,Class 2,16907,Boys,Public School,12/31/2014 12:00:00 AM,"(-2.1576841001, 37.7882455725)"
Mandera        ,Class 2,8944,Boys,Public School,12/31/2014 12:00:00 AM,"(3.436469488, 40.7388101667)  "
Marsabit       ,Class 2,3836,Boys,Public School,12/31/2014 12:00:00 AM,"(2.9786587865, 37.5695361088) "
Meru           ,Class 2,19205,Boys,Public School,12/31/2014 12:00:00 AM,"(0.1667792413, 37.7640370542) "
Migori         ,Class 2,18270,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.9895368437, 34.3633453076)"
Mombasa        ,Class 2,3417,Boys,Public School,12/31/2014 12:00:00 AM,"(-4.0212562197, 39.6508827026)"
Muranga        ,Class 2,10975,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.8095905365, 37.0327225233)"
Nairobi        ,Class 2,9398,Boys,Public School,12/31/2014 12:00:00 AM,"(-1.2934134703, 36.8681892682)"
Nakuru         ,Class 2,23418,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.4636754317, 36.0784790942)"
Nandi          ,Class 2,14301,Boys,Public School,12/31/2014 12:00:00 AM,"(0.1866888869, 35.1104876664) "
Narok          ,Class 2,17051,Boys,Public School,12/31/2014 12:00:00 AM,"(-1.2547903321, 35.5763292139)"
Nyamira        ,Class 2,8003,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.6427324001, 34.9646595611)"
Nyandarua      ,Class 2,7790,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.3220778225, 36.482869161) "
Nyeri          ,Class 2,6250,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.3429235894, 36.9564781346)"
Samburu        ,Class 2,3665,Boys,Public School,12/31/2014 12:00:00 AM,"(1.3168546261, 37.118394067)  "
Siaya          ,Class 2,16617,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.0621298886, 34.2476417045)"
Taita Taveta   ,Class 2,3884,Boys,Public School,12/31/2014 12:00:00 AM,"(-3.4347339937, 38.4186020033)"
Tana River     ,Class 2,3393,Boys,Public School,12/31/2014 12:00:00 AM,"(-1.5263666043, 39.4178692029)"
Tharaka-Nithi  ,Class 2,5636,Boys,Public School,12/31/2014 12:00:00 AM,"(-0.2070612179, 37.8702972709)"
Trans Nzoia    ,Class 2,13942,Boys,Public School,12/31/2014 12:00:00 AM,"(1.0509548086, 34.9574199775) "
Turkana        ,Class 2,15900,Boys,Public School,12/31/2014 12:00:00 AM,"(3.4248491959, 35.4357584553) "
Uasin Gishu    ,Class 2,10395,Boys,Public School,12/31/2014 12:00:00 AM,"(0.5260858915, 35.3220116672) "
Vihiga         ,Class 2,11452,Boys,Public School,12/31/2014 12:00:00 AM,"(0.0762657959, 34.7223230361) "
Wajir          ,Class 2,6225,Boys,Public School,12/31/2014 12:00:00 AM,"(1.8081376238, 40.0349856396) "
West Pokot     ,Class 2,12722,Boys,Public School,12/31/2014 12:00:00 AM,"(1.7401061713, 35.2438468092) "
West Pokot     ,Class 2,255,Girls,Private School,12/31/2014 12:00:00 AM,"(1.7401062, 35.2438468)       "
Wajir          ,Class 2,519,Girls,Private School,12/31/2014 12:00:00 AM,"(1.8081376, 40.0349856)       "
